Original code-name,New human-readable name,gender,age
aaaaacad,alice,F,80.0
aaaaamzv,beatrice,F,26.0
aaaaaijh,bob,M,35.0
aaaaamuc,tofaha,M,59.0
aaaaakqg,alexander,M,19.0
aaaaakka,benjamin,M,33.0
aaaaaels,charlotte,F,79.0
aaaaaobi,diana,F,33.0
aaaaanyc,emma,F,49.0
aaaaaezj,fiona,F,54.0
aaaaaout,charles,M,80.0
aaaaadao,grace,F,22.0
aaaaamoa,hannah,F,46.0
aaaaabnn,daniel,M,47.0
aaaaanyw,isabelle,F,48.5
aaaaanyf,julia,F,70.0
aaaaakqr,katherine,F,55.0
aaaaaiat,laura,F,53.0
aaaaanvw,maria,F,33.0
aaaaaphs,nina,F,82.0
aaaaanro,olivia,F,81.0
aaaaalbt,edward,M,66.5
aaaaadmi,penelope,F,29.0
aaaaalzg,felix,M,45.0
aaaaanrc,george,M,50.0
aaaaanyb,queenie,F,66.0
aaaaaovl,henry,M,50.0
aaaaamcr,isaac,M,51.0
aaaaajrf,rachel,F,48.5
aaaaahzs,sophie,F,28.0
aaaaamdu,jack,M,55.0
aaaaagcs,theresa,F,46.0
aaaaajqh,kevin,M,52.0
aaaaajrj,leo,M,44.0
aaaaambs,matthew,M,29.0
aaaaanqe,ursula,F,68.0
aaaaanzh,victoria,F,73.0
aaaaamhb,wendy,F,23.0
aaaaanwj,nicholas,M,40.0
aaaaaoav,xenia,F,35.5
aaaaajns,oscar,M,43.0
aaaaaoiv,yvonne,F,77.0
aaaaajtu,patrick,M,25.0
aaaaamsc,quentin,M,51.0
aaaaamxn,zoe,F,60.0
aaaaaovo,richard,M,66.0
aaaaapas,samuel,M,60.0
aaaaabiw,amelia,F,52.0
aaaaapqh,thomas,M,67.0
aaaaamyc,ulysses,M,41.5
aaaaanbq,bianca,F,49.0
aaaaajoe,victor,M,40.0
aaaaaayx,william,M,69.0
aaaaaenq,catherine,F,44.0
aaaaajoa,xavier,M,57.0
aaaaanhb,yannick,M,58.5
aaaaamob,delia,F,42.0
aaaaaovn,zachary,M,62.0
aaaaaibx,adrian,M,40.0
aaaaafwz,elena,F,65.0
aaaaapmp,frida,F,85.0
aaaaabbn,georgia,F,49.0
aaaaalnt,brian,M,61.0
aaaaakgp,helena,F,35.0
aaaaafsb,irene,F,41.0
aaaaaaju,colin,M,66.5
aaaaajqo,joanna,F,67.0
aaaaanta,david,M,79.0
aaaaaohw,klara,F,32.0
aaaaabms,ethan,M,63.0
aaaaafcf,frank,M,49.0
aaaaaksu,lena,F,45.0
aaaaafdh,gavin,M,80.0
aaaaaayg,martha,F,55.0
aaaaakbz,natalie,F,73.5
aaaaalmh,ophelia,F,85.0
aaaaamqc,hugo,M,56.0
aaaaagqb,ian,M,73.0
aaaaaoxr,paula,F,54.0
aaaaaowf,rebecca,F,30.0
aaaaamrj,jacob,M,63.0
aaaaanxl,stella,F,71.0
aaaaappv,tina,F,82.0
aaaaaarq,una,F,41.0
aaaaakeq,karl,M,54.0
aaaaanji,veronica,F,49.0
aaaaaofj,louis,M,41.0
aaaaafhl,wilhelmina,F,74.0
aaaaakdo,ximena,F,42.0
aaaaalfj,yasmin,F,36.0
aaaaacyf,martin,M,67.0
aaaaachj,nathan,M,60.0
